,MSA Name,Count Contributors,Population,Contributors/100k
C3562,"New York-Newark-Jersey City, NY-NJ-PA",11579,19216182,60
C4186,"San Francisco-Oakland-Hayward, CA",10702,4731803,226
C4266,"Seattle-Tacoma-Bellevue, WA",8830,3979845,221
C3108,"Los Angeles-Long Beach-Anaheim, CA",5533,13214799,41
C1446,"Boston-Cambridge-Newton, MA-NH",5221,4873019,107
C4194,"San Jose-Sunnyvale-Santa Clara, CA",4587,1990660,230
C1698,"Chicago-Naperville-Elgin, IL-IN-WI",3876,9458539,40
C1242,"Austin-Round Rock, TX",3370,2227083,151
C3890,"Portland-Vancouver-Hillsboro, OR-WA",2751,2492412,110
C4790,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2698,6280487,42
C1206,"Atlanta-Sandy Springs-Roswell, GA",2668,6020364,44
C1974,"Denver-Aurora-Lakewood, CO",2555,2967239,86
C4174,"San Diego-Carlsbad, CA",1903,3338330,57
C3798,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1883,6102434,30
C1910,"Dallas-Fort Worth-Arlington, TX",1844,7573136,24
C3346,"Minneapolis-St. Paul-Bloomington, MN-WI",1554,3640043,42
C2642,"Houston-The Woodlands-Sugar Land, TX",1411,7066141,19
C3806,"Phoenix-Mesa-Scottsdale, AZ",1269,4948203,25
C3830,"Pittsburgh, PA",1185,2317600,51
C3958,"Raleigh, NC",1159,1390785,83
C1450,"Boulder, CO",995,326196,305
C4162,"Salt Lake City, UT",989,1232696,80
C3310,"Miami-Fort Lauderdale-West Palm Beach, FL",967,6166488,15
C3498,"Nashville-Davidson--Murfreesboro--Franklin, TN",952,1934317,49
C3674,"Orlando-Kissimmee-Sanford, FL",804,2608147,30
C1674,"Charlotte-Concord-Gastonia, NC-SC",771,2636883,29
C4530,"Tampa-St. Petersburg-Clearwater, FL",765,3194831,23
C2050,"Durham-Chapel Hill, NC",759,644367,117
C1258,"Baltimore-Columbia-Towson, MD",755,2800053,26
C4118,"St. Louis, MO-IL",724,2803228,25
C4090,"Sacramento--Roseville--Arden-Arcade, CA",650,2363730,27
C2814,"Kansas City, MO-KS",637,2157990,29
C1814,"Columbus, OH",603,2122271,28
C1146,"Ann Arbor, MI",600,367601,163
C3154,"Madison, WI",574,664865,86
C1982,"Detroit-Warren-Dearborn, MI",544,4319629,12
C2690,"Indianapolis-Carmel-Anderson, IN",517,2074537,24
C4170,"San Antonio-New Braunfels, TX",468,2550960,18
C1714,"Cincinnati, OH-KY-IN",416,2221208,18
C1746,"Cleveland-Elyria, OH",404,2048449,19
C3934,"Provo-Orem, UT",390,648252,60
C4038,"Rochester, NY",376,1069644,35
C2982,"Las Vegas-Henderson-Paradise, NV",369,2266715,16
C4014,"Riverside-San Bernardino-Ontario, CA",366,4650631,7
C1658,"Champaign-Urbana, IL",365,226033,161
C4606,"Tucson, AZ",347,1047279,33
C4006,"Richmond, VA",331,1291900,25
C3930,"Providence-Warwick, RI-MA",317,1624578,19
C4220,"Santa Maria-Santa Barbara, CA",291,446499,65
C3334,"Milwaukee-Waukesha-West Allis, WI",290,1575179,18
C2706,"Ithaca, NY",274,102180,268
C1426,"Boise City, ID",272,749202,36
C3114,"Louisville/Jefferson County, KY-IN",254,1265108,20
C1538,"Buffalo-Cheektowaga-Niagara Falls, NY",251,1127983,22
C4594,"Trenton, NJ",251,367430,68
C4210,"Santa Cruz-Watsonville, CA",249,273213,91
C1682,"Charlottesville, VA",238,218615,108
C1058,"Albany-Schenectady-Troy, NY",229,880381,26
C2434,"Grand Rapids-Wyoming, MI",228,1077370,21
C2354,"Gainesville, FL",227,329128,68
C1090,"Allentown-Bethlehem-Easton, PA-NJ",225,844052,26
C2894,"Knoxville, TN",220,869046,25
C3538,"New Orleans-Metairie, LA",212,1270530,16
C1074,"Albuquerque, NM",211,918018,22
C2726,"Jacksonville, FL",198,1559514,12
C3654,"Omaha-Council Bluffs, NE-IA",195,949442,20
C4652,"Urban Honolulu, HI",195,974563,20
C1402,"Bloomington, IN",194,169230,114
