,region,count_github,count_twitter,count_total_contributors,population,contributors_per_100k
0,Distrito Federal,876,80,956,3015268,31.705307786903187
1,Santa Catarina,1298,165,1463,7164788,20.41930619580091
2,São Paulo,7012,882,7894,45919049,17.19112257747324
3,Paraíba,504,50,554,4018127,13.78751841342994
4,Rio Grande do Norte,358,52,410,3506853,11.691393964902435
5,Rio Grande do Sul,1176,153,1329,11377239,11.681217209201634
6,Rio de Janeiro,1666,255,1921,17264943,11.126593351625894
7,Paraná,1080,115,1195,11433957,10.451324943761813
8,Pernambuco,832,87,919,9557071,9.615916843141585
9,Ceará,745,90,835,9132078,9.143592509831826
10,Minas Gerais,1718,214,1932,21168791,9.126643085096356
11,Tocantins,92,23,115,1572866,7.311493795402788
12,Alagoas,182,28,210,3337357,6.292404438602163
13,Espírito Santo,213,34,247,4018650,6.146342677267241
14,Piauí,170,25,195,3273227,5.957423667836053
15,Mato Grosso do Sul,136,28,164,2778986,5.90143311265332
16,Sergipe,113,22,135,2298696,5.872894893452636
17,Goiás,354,57,411,7018354,5.856073945543357
18,Amazonas,189,21,210,4144597,5.066837620159451
19,Roraima,21,4,25,605761,4.127040202324019
20,Bahia,514,87,601,14873064,4.04086205774412
21,Mato Grosso,98,22,120,3484466,3.4438562465525564
22,Rondônia,46,10,56,1777225,3.150979757768431
23,Acre,18,4,22,881935,2.4945149018918626
24,Pará,167,31,198,8602865,2.3015588411534993
25,Amapá,15,3,18,845731,2.128336314974856
26,Maranhão,122,17,139,7075181,1.9646140501564553
