,region,count_github,count_twitter,count_total_contributors,population,contributors_per_100k
0,Beijing,6878,183,7061,21893095,32.252178141098824
1,Shanghai,5312,154,5466,24870895,21.97749618580272
2,Zhejiang,2970,68,3038,64567588,4.705147108793966
3,Guangdong,4984,94,5078,126012510,4.029758632694484
4,Sichuan,1498,29,1527,83674866,1.8249207593592085
5,Tianjin,236,7,243,13866009,1.7524869629033126
6,Hubei,944,15,959,57752557,1.660532537113465
7,Shaanxi,619,11,630,39528999,1.593766642054356
8,Jiangsu,1260,38,1298,84748016,1.531599276613154
9,Fujian,493,8,501,41540086,1.2060639450770516
10,Chongqing,362,10,372,32054159,1.1605358293755266
11,Anhui,512,9,521,61027171,0.8537180922248551
12,Liaoning,282,3,285,42591407,0.6691490609831227
13,Hunan,309,11,320,66444864,0.4816023101499613
14,Heilongjiang,135,6,141,31850088,0.44269893383026127
15,Shandong,369,19,388,101527453,0.3821626452108476
16,Qinghai,16,0,16,5923957,0.27008973900384486
17,Yunnan,107,7,114,47209277,0.2414779620539412
18,Jiangxi,99,5,104,45188635,0.23014636312869377
19,Jilin,52,1,53,24073453,0.2201595259309082
20,Hainan,22,0,22,10081232,0.21822729602889807
21,Henan,200,2,202,99365519,0.20328983538042006
22,Shanxi,61,3,64,34915616,0.18329907168185147
23,Guangxi Zhuang,67,1,68,50126804,0.13565596561871368
24,Hebei,92,4,96,74610235,0.1286686739426568
25,Inner Mongolia,27,2,29,24049155,0.12058635740008328
26,Gansu,24,1,25,25019831,0.0999207388730963
27,Guizhou,38,0,38,38562148,0.09854222850864014
28,Tibet,3,0,3,3648100,0.08223458786765714
29,Ningxia Hui,5,0,5,7202654,0.06941885588284541
30,Xinjiang Uygur,11,0,11,25852345,0.0425493315983521
31,Xinjiang,1,0,1,25852345,0.003868121054395646
