,nuts2,country,count_github,count_twitter,count_total_contributors,population,contributors_per_100k
0,DE30,DE,5629,791,6420,3669491.0,174.956145143836
1,London,UK,9663,1284,10947,8982256.0,121.87361393396047
2,CH04,CH,1509,168,1677,1539275.0,108.94739406538793
3,NO01,NO,1298,123,1421,1326682.0,107.10931481696443
4,CZ01,CZ,1236,143,1379,1324277.0,104.13229256416898
5,SE11,SE,2197,231,2428,2377081.0,102.14208098083321
6,NL32,NL,2577,333,2910,2879527.0,101.05826408295529
7,FI1B,FI,1401,110,1511,1689725.0,89.42283507671367
8,NO06,NO,359,26,385,465136.0,82.77149048880327
9,DE60,DE,1268,164,1432,1847253.0,77.52051289130401
10,DK01,DK,1173,132,1305,1846023.0,70.69251033166977
11,UKM7,UK,1244,149,1393,1998699.0,69.69533681659921
12,AT13,AT,1048,129,1177,1911191.0,61.58463492136578
13,PL91,PL,1747,126,1873,3082399.0,60.764359189060215
14,CH01,CH,912,67,979,1654751.0,59.16297980783816
15,HU11,HU,958,63,1021,1750216.0,58.33565685606805
16,DE21,DE,2428,259,2687,4710865.0,57.03835707455001
17,IE06,IE,1260,117,1377,2445551.0,56.306329330281805
18,FR10,FR,5850,604,6454,12291557.0,52.50758711853999
19,NL31,NL,576,56,632,1319231.0,47.906697159178336
20,UKH1,UK,1048,143,1191,2521676.0,47.23049273578366
21,LT01,LT,363,16,379,820511.0,46.19072748567661
22,BG41,BG,919,35,954,2094260.0,45.55308318928882
23,BE10,BE,498,49,547,1223364.0,44.71277559254646
24,NL11,NL,233,26,259,585866.0,44.208061229018234
25,IS00,IS,136,23,159,364134.0,43.66524411343077
26,SE23,SE,836,55,891,2059729.0,43.25811793687422
27,PL21,PL,1379,56,1435,3371956.0,42.556901691481144
28,UKJ1,UK,844,97,941,2417428.0,38.92566810676471
29,DE12,DE,990,102,1092,2810854.0,38.84940306397984
30,PL51,PL,1052,59,1111,2864809.0,38.780944907670985
31,ES30,ES,2193,369,2562,6747068.0,37.97204948875571
32,CZ06,CZ,557,79,636,1701802.0,37.37215022664211
33,UKK1,UK,836,95,931,2516568.0,36.99482787669557
34,ES51,ES,2464,332,2796,7652348.0,36.53780512856969
35,DED5,DE,333,43,376,1049025.0,35.84280641548104
36,SE22,SE,511,34,545,1537433.0,35.448699227868794
37,SK01,SK,223,14,237,669592.0,35.39468810857955
38,UKD3,UK,854,137,991,2822003.0,35.116901009672915
39,UKM8,UK,484,53,537,1541998.0,34.824947892280015
40,PT17,PT,882,110,992,2863272.0,34.64567809135842
