,region,count_github,count_twitter,count_total_contributors,population,contributors_per_100k
0,CH,243,54,297,1055450,28.139656070870245
1,DL,2538,580,3118,16787941,18.572855360880766
2,GA,159,49,208,1458545,14.260787291444556
3,KA,5703,960,6663,61095297,10.905913101625483
4,TS,1615,274,1889,35193978,5.367395524313847
5,MH,4068,887,4955,112374333,4.409369886983
6,UK,355,68,423,10086292,4.193810768119741
7,KL,909,265,1174,33406061,3.514332324304862
8,TN,1990,391,2381,72147030,3.300205150510007
9,HP,160,50,210,6864602,3.0591722579109466
10,HR,611,145,756,25351462,2.9820765366510225
11,PY,31,4,35,1247953,2.8045928011711982
12,SK,10,4,14,610577,2.29291309695583
13,GJ,964,310,1274,60439692,2.1078863207972667
14,PB,356,95,451,27743338,1.6256154901043272
15,WB,1167,306,1473,91276115,1.6137847234186076
16,AR,17,4,21,1383727,1.5176404016110114
17,RJ,804,197,1001,68548437,1.4602812898563975
18,OD,341,95,436,41974218,1.0387328716880442
19,UP,1680,395,2075,199812341,1.0384743953327689
20,DD,5,1,6,586956,1.0222231308650052
21,AP,305,97,402,49506799,0.8120096797209612
22,JH,207,60,267,32988134,0.8093819432163092
23,MP,448,128,576,72626809,0.793095563375227
24,AN,3,0,3,380581,0.7882684632180796
25,CG,141,33,174,25545198,0.6811456305799626
26,TR,18,6,24,3673917,0.6532537343658008
27,AS,157,34,191,31205576,0.6120700992668746
28,JK,51,21,72,12258433,0.5873507649795042
29,ML,10,2,12,2966889,0.404464069939927
30,MZ,4,0,4,1097206,0.3645623520104702
31,BR,179,84,263,104099452,0.252643020637611
32,MN,5,0,5,2855794,0.1750826565221441
33,NL,2,1,3,1978502,0.1516298694668997
