,region,count_github,count_twitter,count_total_contributors,population,contributors_per_100k
0,Tokyo,5619,891,6510,13513734.0,48.17321400584028
1,Kyoto,290,71,361,2610140.0,13.83067574919353
2,Okinawa,76,23,99,1434138.0,6.903101375181468
3,Kanagawa,492,117,609,9127323.0,6.6722740062995465
4,Fukuoka,242,59,301,5102871.0,5.898640196861727
5,Osaka,428,85,513,8838908.0,5.8038843712368084
6,Ibaraki,101,34,135,2917857.0,4.6266832130567055
7,Shimane,24,7,31,694188.0,4.465649074890376
8,Ishikawa,31,12,43,1154343.0,3.7250626546875583
9,Kagawa,21,12,33,976756.0,3.37853056443984
10,Hokkaido,133,48,181,5383579.0,3.362075674936692
11,Chiba,157,43,200,6224027.0,3.21335366957759
12,Aichi,192,47,239,7484094.0,3.1934393127611704
13,Hyōgo,135,26,161,5536989.0,2.9077175338437553
14,Fukui,16,4,20,787099.0,2.540976421009301
15,Miyagi,48,11,59,2334215.0,2.527616350678922
16,Nara,28,6,34,1365008.0,2.4908278925837797
17,Saitama,147,30,177,7261271.0,2.4375897828355395
18,Okayama,36,5,41,1922181.0,2.132993719113861
19,Ōita,18,6,24,1166729.0,2.057032952810807
20,Shiga,27,2,29,1413184.0,2.052103618495539
21,Nagano,35,5,40,2099759.0,1.9049805239553683
22,Shizuoka,60,10,70,3701181.0,1.8912882131406163
23,Gunma,32,5,37,1973476.0,1.8748644523672953
24,Miyazaki,13,7,20,1104377.0,1.810975780915394
25,Niigata,29,9,38,2305098.0,1.6485199327750926
26,Iwate,13,8,21,1279814.0,1.6408634379683298
27,Toyama,8,9,17,1066883.0,1.5934268331204078
28,Tokushima,10,2,12,756063.0,1.5871693231913213
29,Gifu,25,7,32,2032533.0,1.5743901821028243
30,Kagoshima,18,6,24,1648752.0,1.4556464525895951
31,Saga,8,4,12,833245.0,1.4401526561815554
32,Kōchi,6,4,10,728461.0,1.3727570865152698
33,Hiroshima,32,7,39,2844963.0,1.3708438387423667
34,Yamanashi,10,1,11,835165.0,1.3171050032029599
35,Aomori,14,3,17,1308649.0,1.2990496305732095
36,Fukushima,18,6,24,1913606.0,1.2541766695965626
37,Kumamoto,16,5,21,1786969.0,1.1751742755470296
38,Akita,10,2,12,1022839.0,1.1732051671866248
39,Yamaguchi,13,2,15,1405007.0,1.0676103393079182
40,Wakayama,8,2,10,963850.0,1.0375058359703273
41,Tochigi,14,6,20,1974671.0,1.0128269468686175
42,Ehime,11,3,14,1385840.0,1.010217629740807
43,Nagasaki,9,4,13,1377780.0,0.9435468652469915
44,Mie,8,6,14,1815827.0,0.7709985587834084
45,Yamagata,6,2,8,1122957.0,0.7124048382974593
46,Tottori,4,0,4,573648.0,0.6972917189635456
47,Toukyou,10,8,18,,
