,region,count_github,count_twitter,count_total_contributors,population,contributors_per_100k
0,St Petersburg,2805,168,2973,4662547.0,63.7634323042749
1,Moscow,5394,313,5707,10382754.0,54.96614867307845
2,Novosibirsk,438,25,463,2692251.0,17.197504987462164
3,Tomsk,145,5,150,1046039.0,14.33980950997047
4,Tatarstan,377,24,401,3779265.0,10.610528766836937
5,Nizhny Novgorod,339,15,354,3524028.0,10.04532313591152
6,Kaliningrad,91,4,95,955281.0,9.944717836950593
7,Sverdlovsk,339,25,364,4486214.0,8.11374579991057
8,Perm,157,30,187,2819421.0,6.632567466866424
9,Samara,192,5,197,3239737.0,6.080740504553302
10,Chukotka,2,1,3,53824.0,5.57372175980975
11,Voronezh,121,10,131,2378803.0,5.506971363328531
12,Taymyr,2,0,2,38372.0,5.212133847597206
13,Tver,73,3,76,1471459.0,5.164941734700049
14,Krasnodar,226,22,248,5125221.0,4.838815731067987
15,Yaroslavl,61,4,65,1367398.0,4.753553829974886
16,Primorsky,92,5,97,2071210.0,4.683252784604169
17,Rostov,191,15,206,4404013.0,4.677552041740113
18,Mari El,29,3,32,727979.0,4.395731195542728
19,Omsk,86,5,91,2079220.0,4.376641240465174
20,Ulyanovsk,52,7,59,1382811.0,4.2666712949202745
21,Tula,65,5,70,1675758.0,4.177214132350852
22,Saratov,102,1,103,2668310.0,3.8601212003103087
23,Ivanovo,39,5,44,1148329.0,3.831654517128802
24,Krasnoyarsk,105,8,113,2966042.0,3.809790960478645
25,Udmurt,52,6,58,1570316.0,3.693524105976122
26,Kaluga,36,2,38,1041641.0,3.648089888934863
27,Volgograd,85,1,86,2699223.0,3.186102074559975
28,Ryazan,37,2,39,1227910.0,3.176128543622904
29,Khabarovsk,42,1,43,1436570.0,2.99324084451158
30,Chelyabinsk,96,9,105,3603339.0,2.9139639650890468
31,Pskov,22,0,22,760810.0,2.8916549467015416
32,Karelia,18,0,18,716281.0,2.512980240994805
33,Irkutsk,60,3,63,2581705.0,2.4402478207231266
34,Vladimir,37,0,37,1523990.0,2.4278374530016604
35,Kirov,33,3,36,1503529.0,2.39436685291737
36,Penza,31,3,34,1452941.0,2.3400812558803143
37,Bashkortostan,89,6,95,4104336.0,2.314625313327174
38,Chuvash,26,3,29,1313754.0,2.2074147823717376
39,Lipetsk,23,3,26,1213499.0,2.14256460038286
40,Tyumen,63,5,68,3264841.0,2.082796681369782
41,Bryansk,26,2,28,1378941.0,2.030543728846992
42,Astrakhan,18,1,19,1005276.0,1.8900282111579307
43,Novgorod,12,1,13,694355.0,1.8722411446594323
44,Belgorod,26,2,28,1511620.0,1.8523173813524563
45,Orenburg,38,1,39,2179551.0,1.7893593680533286
46,Arkhangelsk,21,2,23,1336539.0,1.720862616055349
47,Altai,41,2,43,2607426.0,1.649135967808866
48,Tambov,18,1,19,1178443.0,1.6122969036262256
49,Khakassia,8,0,8,546072.0,1.4650082772967667
50,Kamchatka,5,0,5,358801.0,1.3935301183664484
51,Kursk,15,2,17,1235091.0,1.3764167984383338
52,Sakha (Yakutia),12,1,13,949280.0,1.3694589583684478
53,Kostroma,10,0,10,736641.0,1.357513361325259
54,Mordovia,12,0,12,888766.0,1.350186663306202
55,Murmansk,12,0,12,892534.0,1.3444865965890376
56,Komi,11,2,13,1018674.0,1.2761688233919781
57,Kemerovo,33,2,35,2899142.0,1.2072537323111459
58,Vologda,15,0,15,1269568.0,1.1815042597166912
59,Oryol,9,1,10,860262.0,1.1624365600247366
60,Khanty–Mansi  – Yugra,16,0,16,1432817.0,1.1166813347412823
61,Magadan,2,0,2,182726.0,1.0945349868108534
62,Kurgan,11,0,11,1019532.0,1.0789264093721433
63,Buryatia,10,0,10,981238.0,1.019120743387435
64,Smolensk,8,2,10,1049574.0,0.9527675037681955
65,Leningrad,14,1,15,1669205.0,0.8986313844015564
66,Adygea,3,1,4,447109.0,0.8946364309374225
67,North Ossetia-Alania,5,0,5,710275.0,0.7039526943789377
68,Yamalo-Nenets,3,0,3,507006.0,0.5917089738582975
69,Amur,5,0,5,902844.0,0.5538055300805013
70,Altai Republic,1,0,1,202947.0,0.4927394837075689
71,Stavropol,11,2,13,2735139.0,0.4752957710741575
72,Dagestan,12,0,12,2576531.0,0.46574250416548457
73,Karachay-Cherkess,2,0,2,439470.0,0.4550936355155073
74,Zabaykalsky,5,0,5,1155346.0,0.43277078901039173
75,Ingushetia,2,0,2,467294.0,0.4279960795559113
76,Sakhalin,2,0,2,546695.0,0.3658346975918931
77,Kalmykia,1,0,1,292410.0,0.3419855682090216
78,Kabardino-Balkar,2,0,2,901494.0,0.22185394467406327
79,Chechen,2,0,2,1103686.0,0.18121096036372664
