,region,count_github,count_twitter,count_total_contributors,population,contributors_per_100k
0,DC,1408,187,1595,689545,231.3119520843455
1,WA,9767,943,10710,7705281,138.99557978482548
2,OR,4003,471,4474,4237256,105.58720077333066
3,MA,5713,651,6364,7029917,90.52738460496761
4,CO,4498,432,4930,5773714,85.38697968067002
5,CA,27164,3011,30175,39538223,76.31855382069143
6,NY,12730,1465,14195,20201249,70.26793244318705
7,UT,1945,193,2138,3271616,65.34996772237328
8,MN,2057,226,2283,5706494,40.00705161522995
9,VT,224,32,256,643077,39.808607678396214
10,IL,4472,455,4927,12812508,38.45461013565806
11,RI,365,48,413,1097379,37.63512879324281
12,NC,3432,357,3789,10439388,36.295231099754126
13,PA,3803,481,4284,13002700,32.94700331469618
14,GA,3083,353,3436,10711908,32.07645173950336
15,NH,394,43,437,1377529,31.723470068506728
16,TX,8336,888,9224,29145505,31.648104913605028
17,AZ,1967,206,2173,7151502,30.385225369439873
18,MD,1630,214,1844,6177224,29.851596769034117
19,MT,279,43,322,1084225,29.698632663884343
20,ID,483,55,538,1839106,29.253343744188754
21,AK,184,23,207,733391,28.225053211724713
22,VA,2168,239,2407,8631393,27.886576361428567
23,MO,1435,188,1623,6154913,26.36917857327959
24,HI,333,45,378,1455271,25.974543572984
25,TN,1578,198,1776,6910840,25.698757314595625
26,IN,1379,196,1575,6785528,23.211163523310198
27,MI,2046,271,2317,10077331,22.99219902571425
28,WI,1199,149,1348,5893718,22.871810290210696
29,NJ,1909,210,2119,9288994,22.81194282179534
30,NM,428,46,474,2117522,22.384655271586315
31,ME,262,42,304,1362359,22.31423582183551
32,IA,617,93,710,3190369,22.254479027347617
33,NE,365,45,410,1961504,20.90232800952738
34,FL,3874,441,4315,21538187,20.034183935723096
35,CT,616,92,708,3605944,19.634248341072407
36,NV,518,81,599,3104614,19.29386390707508
37,OH,2015,261,2276,11799448,19.28903792787595
38,KS,485,75,560,2937880,19.061363976745135
39,WY,91,11,102,576851,17.682209097323227
40,DE,138,10,148,989948,14.950280216738657
41,ND,99,11,110,779094,14.11896382208052
42,SC,633,77,710,5118425,13.871454597849924
43,OK,458,91,549,3959353,13.86590182789966
44,KY,517,89,606,4505836,13.449224516826622
45,WV,185,33,218,1793716,12.15354047128977
46,LA,422,69,491,4657757,10.541554658175597
47,AR,275,31,306,3011524,10.16096833364104
48,SD,75,8,83,886667,9.360898736504234
49,AL,391,66,457,5024279,9.095832456756481
50,MS,155,24,179,2961279,6.044685421400685
